_id,dateTime,dow,dateTime,nasdaq,dateTime,sp
5c62152737c1383248ccee10,8/5/2014,16429.47,8/5/2014,4352.835,8/5/2014,1920.21
5c62152737c1383248ccee11,8/6/2014,16443.34,8/6/2014,4355.051,8/6/2014,1920.24
5c62152737c1383248ccee12,8/7/2014,16368.27,8/7/2014,4334.967,8/7/2014,1909.57
5c62152737c1383248ccee13,8/8/2014,16553.93,8/8/2014,4370.898,8/8/2014,1931.59
5c62152737c1383248ccee14,8/11/2014,16569.98,8/11/2014,4401.331,8/11/2014,1936.92
5c62152737c1383248ccee15,8/12/2014,16560.54,8/12/2014,4389.251,8/12/2014,1933.75
5c62152737c1383248ccee16,8/13/2014,16651.8,8/13/2014,4434.125,8/13/2014,1946.72
5c62152737c1383248ccee17,8/14/2014,16713.58,8/14/2014,4453.002,8/14/2014,1955.18
5c62152737c1383248ccee18,8/15/2014,16662.91,8/15/2014,4464.927,8/15/2014,1955.06
5c62152737c1383248ccee19,8/18/2014,16838.74,8/18/2014,4508.313,8/18/2014,1971.74
5c62152737c1383248ccee1a,8/19/2014,16919.59,8/19/2014,4527.514,8/19/2014,1981.6
5c62152737c1383248ccee1b,8/20/2014,16979.13,8/20/2014,4526.482,8/20/2014,1986.51
5c62152737c1383248ccee1c,8/21/2014,17039.49,8/21/2014,4532.104,8/21/2014,1992.37
5c62152737c1383248ccee1d,8/22/2014,17001.22,8/22/2014,4538.551,8/22/2014,1988.4
5c62152737c1383248ccee1e,8/25/2014,17076.87,8/25/2014,4557.348,8/25/2014,1997.92
5c62152737c1383248ccee1f,8/26/2014,17106.7,8/26/2014,4570.637,8/26/2014,2000.02
5c62152737c1383248ccee20,8/27/2014,17122.01,8/27/2014,4569.621,8/27/2014,2000.12
5c62152737c1383248ccee21,8/28/2014,17079.57,8/28/2014,4557.695,8/28/2014,1996.74
5c62152737c1383248ccee22,8/29/2014,17098.45,8/29/2014,4580.271,8/29/2014,2003.37
5c62152737c1383248ccee23,9/2/2014,17067.56,9/2/2014,4598.188,9/2/2014,2002.28
5c62152737c1383248ccee24,9/3/2014,17078.28,9/3/2014,4572.565,9/3/2014,2000.72
5c62152737c1383248ccee25,9/4/2014,17069.58,9/4/2014,4562.287,9/4/2014,1997.65
5c62152737c1383248ccee26,9/5/2014,17137.36,9/5/2014,4582.9,9/5/2014,2007.71
5c62152737c1383248ccee27,9/8/2014,17111.42,9/8/2014,4592.285,9/8/2014,2001.54
5c62152737c1383248ccee28,9/9/2014,17013.87,9/9/2014,4552.285,9/9/2014,1988.44
5c62152737c1383248ccee29,9/10/2014,17068.71,9/10/2014,4586.522,9/10/2014,1995.69
5c62152737c1383248ccee2a,9/11/2014,17049,9/11/2014,4591.806,9/11/2014,1997.45
5c62152737c1383248ccee2b,9/12/2014,16987.51,9/12/2014,4567.599,9/12/2014,1985.54
5c62152737c1383248ccee2c,9/15/2014,17031.14,9/15/2014,4518.902,9/15/2014,1984.13
5c62152737c1383248ccee2d,9/16/2014,17131.97,9/16/2014,4552.759,9/16/2014,1998.98
5c62152737c1383248ccee2e,9/17/2014,17156.85,9/17/2014,4562.188,9/17/2014,2001.57
5c62152737c1383248ccee2f,9/18/2014,17265.99,9/18/2014,4593.425,9/18/2014,2011.36
5c62152737c1383248ccee30,9/19/2014,17279.74,9/19/2014,4579.789,9/19/2014,2010.4
5c62152737c1383248ccee31,9/22/2014,17172.68,9/22/2014,4527.689,9/22/2014,1994.29
5c62152737c1383248ccee32,9/23/2014,17055.87,9/23/2014,4508.688,9/23/2014,1982.77
5c62152737c1383248ccee33,9/24/2014,17210.06,9/24/2014,4555.221,9/24/2014,1998.3
5c62152737c1383248ccee34,9/25/2014,16945.8,9/25/2014,4466.748,9/25/2014,1965.99
5c62152737c1383248ccee35,9/26/2014,17113.15,9/26/2014,4512.194,9/26/2014,1982.85
5c62152737c1383248ccee36,9/29/2014,17071.22,9/29/2014,4505.853,9/29/2014,1977.8
5c62152737c1383248ccee37,9/30/2014,17042.9,9/30/2014,4493.39,9/30/2014,1972.29
5c62152737c1383248ccee38,10/1/2014,16804.71,10/1/2014,4422.085,10/1/2014,1946.16
5c62152737c1383248ccee39,10/2/2014,16801.05,10/2/2014,4430.195,10/2/2014,1946.17
5c62152737c1383248ccee3a,10/3/2014,17009.69,10/3/2014,4475.624,10/3/2014,1967.9
5c62152737c1383248ccee3b,10/6/2014,16991.91,10/6/2014,4454.802,10/6/2014,1964.82
5c62152737c1383248ccee3c,10/7/2014,16719.39,10/7/2014,4385.203,10/7/2014,1935.1
5c62152737c1383248ccee3d,10/8/2014,16994.22,10/8/2014,4468.594,10/8/2014,1968.89
5c62152737c1383248ccee3e,10/9/2014,16659.25,10/9/2014,4378.336,10/9/2014,1928.21
5c62152737c1383248ccee3f,10/10/2014,16544.1,10/10/2014,4276.237,10/10/2014,1906.13
5c62152737c1383248ccee40,10/13/2014,16321.07,10/13/2014,4213.656,10/13/2014,1874.74
5c62152737c1383248ccee41,10/14/2014,16315.19,10/14/2014,4227.171,10/14/2014,1877.7
5c62152737c1383248ccee42,10/15/2014,16141.74,10/15/2014,4215.317,10/15/2014,1862.49
5c62152737c1383248ccee43,10/16/2014,16117.24,10/16/2014,4217.39,10/16/2014,1862.76
5c62152737c1383248ccee44,10/17/2014,16380.41,10/17/2014,4258.438,10/17/2014,1886.76
5c62152737c1383248ccee45,10/20/2014,16399.67,10/20/2014,4316.074,10/20/2014,1904.01
5c62152737c1383248ccee46,10/21/2014,16614.81,10/21/2014,4419.479,10/21/2014,1941.28
5c62152737c1383248ccee47,10/22/2014,16461.32,10/22/2014,4382.847,10/22/2014,1927.11
5c62152737c1383248ccee48,10/23/2014,16677.9,10/23/2014,4452.792,10/23/2014,1950.82
5c62152737c1383248ccee49,10/24/2014,16805.41,10/24/2014,4483.715,10/24/2014,1964.58
5c62152737c1383248ccee4a,10/27/2014,16817.94,10/27/2014,4485.933,10/27/2014,1961.63
5c62152737c1383248ccee4b,10/28/2014,17005.75,10/28/2014,4564.294,10/28/2014,1985.05
5c62152737c1383248ccee4c,10/29/2014,16974.31,10/29/2014,4549.226,10/29/2014,1982.3
5c62152737c1383248ccee4d,10/30/2014,17195.42,10/30/2014,4566.138,10/30/2014,1994.65
5c62152737c1383248ccee4e,10/31/2014,17390.52,10/31/2014,4630.742,10/31/2014,2018.05
5c62152737c1383248ccee4f,11/3/2014,17366.24,11/3/2014,4638.907,11/3/2014,2017.81
5c62152737c1383248ccee50,11/4/2014,17383.84,11/4/2014,4623.637,11/4/2014,2012.1
5c62152737c1383248ccee51,11/5/2014,17484.53,11/5/2014,4620.723,11/5/2014,2023.57
5c62152737c1383248ccee52,11/6/2014,17554.47,11/6/2014,4638.469,11/6/2014,2031.21
5c62152737c1383248ccee53,11/7/2014,17573.93,11/7/2014,4632.532,11/7/2014,2031.92
5c62152737c1383248ccee54,11/10/2014,17613.74,11/10/2014,4651.616,11/10/2014,2038.26
5c62152737c1383248ccee55,11/11/2014,17614.9,11/11/2014,4660.556,11/11/2014,2039.68
5c62152737c1383248ccee56,11/12/2014,17612.2,11/12/2014,4675.135,11/12/2014,2038.25
5c62152737c1383248ccee57,11/13/2014,17652.79,11/13/2014,4680.141,11/13/2014,2039.33
5c62152737c1383248ccee58,11/14/2014,17634.74,11/14/2014,4688.539,11/14/2014,2039.82
5c62152737c1383248ccee59,11/17/2014,17647.75,11/17/2014,4671.002,11/17/2014,2041.32
5c62152737c1383248ccee5a,11/18/2014,17687.82,11/18/2014,4702.443,11/18/2014,2051.8
5c62152737c1383248ccee5b,11/19/2014,17685.73,11/19/2014,4675.712,11/19/2014,2048.72
5c62152737c1383248ccee5c,11/20/2014,17719,11/20/2014,4701.868,11/20/2014,2052.75
5c62152737c1383248ccee5d,11/21/2014,17810.06,11/21/2014,4712.97,11/21/2014,2063.5
5c62152737c1383248ccee5e,11/24/2014,17817.9,11/24/2014,4754.892,11/24/2014,2069.41
5c62152737c1383248ccee5f,11/25/2014,17814.94,11/25/2014,4758.251,11/25/2014,2067.03
5c62152737c1383248ccee60,11/26/2014,17827.75,11/26/2014,4787.317,11/26/2014,2072.83
5c62152737c1383248ccee61,11/28/2014,17828.24,11/28/2014,4791.63,11/28/2014,2067.56
5c62152737c1383248ccee62,12/1/2014,17776.8,12/1/2014,4727.347,12/1/2014,2053.44
5c62152737c1383248ccee63,12/2/2014,17879.55,12/2/2014,4755.811,12/2/2014,2066.55
5c62152737c1383248ccee64,12/3/2014,17912.62,12/3/2014,4774.472,12/3/2014,2074.33
5c62152737c1383248ccee65,12/4/2014,17900.1,12/4/2014,4769.436,12/4/2014,2071.92
5c62152737c1383248ccee66,12/5/2014,17958.79,12/5/2014,4780.755,12/5/2014,2075.37
5c62152737c1383248ccee67,12/8/2014,17852.48,12/8/2014,4740.691,12/8/2014,2060.31
5c62152737c1383248ccee68,12/9/2014,17801.2,12/9/2014,4766.465,12/9/2014,2059.82
5c62152737c1383248ccee69,12/10/2014,17533.15,12/10/2014,4684.025,12/10/2014,2026.14
5c62152737c1383248ccee6a,12/11/2014,17596.34,12/11/2014,4708.161,12/11/2014,2035.33
5c62152737c1383248ccee6b,12/12/2014,17280.83,12/12/2014,4653.596,12/12/2014,2002.33
5c62152737c1383248ccee6c,12/15/2014,17180.84,12/15/2014,4605.156,12/15/2014,1989.63
5c62152737c1383248ccee6d,12/16/2014,17068.87,12/16/2014,4547.834,12/16/2014,1972.74
5c62152737c1383248ccee6e,12/17/2014,17356.87,12/17/2014,4644.312,12/17/2014,2012.89
5c62152737c1383248ccee6f,12/18/2014,17778.15,12/18/2014,4748.396,12/18/2014,2061.23
5c62152737c1383248ccee70,12/19/2014,17804.8,12/19/2014,4765.38,12/19/2014,2070.65
5c62152737c1383248ccee71,12/22/2014,17959.44,12/22/2014,4781.424,12/22/2014,2078.54
5c62152737c1383248ccee72,12/23/2014,18024.17,12/23/2014,4765.424,12/23/2014,2082.17
5c62152737c1383248ccee73,12/24/2014,18030.21,12/24/2014,4773.472,12/24/2014,2081.88
5c62152737c1383248ccee74,12/26/2014,18053.71,12/26/2014,4806.859,12/26/2014,2088.77
5c62152737c1383248ccee75,12/29/2014,18038.23,12/29/2014,4806.91,12/29/2014,2090.57
5c62152737c1383248ccee76,12/30/2014,17983.07,12/30/2014,4777.439,12/30/2014,2080.35
5c62152737c1383248ccee77,12/31/2014,17823.07,12/31/2014,4736.054,12/31/2014,2058.9
5c62152737c1383248ccee78,1/2/2015,17832.99,1/2/2015,4726.812,1/2/2015,2058.2
5c62152737c1383248ccee79,1/5/2015,17501.65,1/5/2015,4652.574,1/5/2015,2020.58
5c62152737c1383248ccee7a,1/6/2015,17371.64,1/6/2015,4592.736,1/6/2015,2002.61
5c62152737c1383248ccee7b,1/7/2015,17584.52,1/7/2015,4650.467,1/7/2015,2025.9
5c62152737c1383248ccee7c,1/8/2015,17907.87,1/8/2015,4736.188,1/8/2015,2062.14
5c62152737c1383248ccee7d,1/9/2015,17737.37,1/9/2015,4704.066,1/9/2015,2044.81
5c62152737c1383248ccee7e,1/12/2015,17640.84,1/12/2015,4664.707,1/12/2015,2028.26
5c62152737c1383248ccee7f,1/13/2015,17613.68,1/13/2015,4661.497,1/13/2015,2023.03
5c62152737c1383248ccee80,1/14/2015,17427.09,1/14/2015,4639.322,1/14/2015,2011.27
